,PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Gender_male,Embarked_Q,Embarked_S,fare_class
0,1,0,3,2,1,0,7.25,1,0,1,0
1,2,1,1,2,1,0,71.2833,0,0,0,4
2,3,1,3,2,0,0,7.925,0,0,1,1
3,4,1,1,2,1,0,53.1,0,0,1,4
4,5,0,3,2,0,0,8.05,1,0,1,1
5,6,0,3,3,0,0,8.4583,1,1,0,1
6,7,0,1,2,0,0,51.8625,1,0,1,4
7,8,0,3,0,3,1,21.075,1,0,1,2
8,9,1,3,2,0,2,11.1333,0,0,1,1
9,10,1,2,1,1,0,30.0708,0,0,0,2
10,11,1,3,0,1,1,16.7,0,0,1,2
11,12,1,1,2,0,0,26.55,0,0,1,2
12,13,0,3,2,0,0,8.05,1,0,1,1
13,14,0,3,2,1,5,31.275,1,0,1,4
14,15,0,3,1,0,0,7.8542,0,0,1,0
15,16,1,2,2,0,0,16.0,0,0,1,2
16,17,0,3,0,4,1,29.125,1,1,0,2
17,18,1,2,3,0,0,13.0,1,0,1,1
18,19,0,3,2,1,0,18.0,0,0,1,2
19,20,1,3,3,0,0,7.225,0,0,0,0
20,21,0,2,2,0,0,26.0,1,0,1,2
21,22,1,2,2,0,0,13.0,1,0,1,1
22,23,1,3,1,0,0,8.0292,0,1,0,1
23,24,1,1,2,0,0,35.5,1,0,1,4
24,25,0,3,0,3,1,21.075,0,0,1,2
25,26,1,3,2,1,5,31.3875,0,0,1,4
26,27,0,3,3,0,0,7.225,1,0,0,0
27,28,0,1,2,3,2,263.0,1,0,1,4
28,29,1,3,3,0,0,7.8792,0,1,0,0
29,30,0,3,3,0,0,7.8958,1,0,1,0
30,31,0,1,2,0,0,27.7208,1,0,0,2
31,32,1,1,3,1,0,146.5208,0,0,0,4
32,33,1,3,3,0,0,7.75,0,1,0,0
33,34,0,2,3,0,0,10.5,1,0,1,1
34,35,0,1,2,1,0,82.1708,1,0,0,4
35,36,0,1,2,1,0,52.0,1,0,1,4
36,37,1,3,3,0,0,7.2292,1,0,0,0
37,38,0,3,2,0,0,8.05,1,0,1,1
38,39,0,3,1,2,0,18.0,0,0,1,2
39,40,1,3,1,1,0,11.2417,0,0,0,1
40,41,0,3,2,1,0,9.475,0,0,1,1
41,42,0,2,2,1,0,21.0,0,0,1,2
42,43,0,3,3,0,0,7.8958,1,0,0,0
43,44,1,2,0,1,2,41.5792,0,0,0,4
44,45,1,3,2,0,0,7.8792,0,1,0,0
45,46,0,3,3,0,0,8.05,1,0,1,1
46,47,0,3,3,1,0,15.5,1,1,0,2
47,48,1,3,3,0,0,7.75,0,1,0,0
48,49,0,3,3,2,0,21.6792,1,0,0,2
49,50,0,3,1,1,0,17.8,0,0,1,2
50,51,0,3,0,4,1,39.6875,1,0,1,4
51,52,0,3,2,0,0,7.8,1,0,1,0
52,53,1,1,2,1,0,76.7292,0,0,0,4
53,54,1,2,2,1,0,26.0,0,0,1,2
54,55,0,1,3,0,1,61.9792,1,0,0,4
55,56,1,1,3,0,0,35.5,1,0,1,4
56,57,1,2,2,0,0,10.5,0,0,1,1
57,58,0,3,2,0,0,7.2292,1,0,0,0
58,59,1,2,0,1,2,27.75,0,0,1,2
59,60,0,3,0,5,2,46.9,1,0,1,4
60,61,0,3,2,0,0,7.2292,1,0,0,0
61,62,1,1,2,0,0,80.0,0,0,0,4
62,63,0,1,2,1,0,83.475,1,0,1,4
63,64,0,3,0,3,2,27.9,1,0,1,2
64,65,0,1,3,0,0,27.7208,1,0,0,2
65,66,1,3,3,1,1,15.2458,1,0,0,2
66,67,1,2,2,0,0,10.5,0,0,1,1
67,68,0,3,2,0,0,8.1583,1,0,1,1
68,69,1,3,1,4,2,7.925,0,0,1,1
69,70,0,3,2,2,0,8.6625,1,0,1,1
70,71,0,2,2,0,0,10.5,1,0,1,1
71,72,0,3,1,5,2,46.9,0,0,1,4
72,73,0,2,2,0,0,73.5,1,0,1,4
73,74,0,3,2,1,0,14.4542,1,0,0,1
74,75,1,3,2,0,0,56.4958,1,0,1,4
75,76,0,3,2,0,0,7.65,1,0,1,0
76,77,0,3,3,0,0,7.8958,1,0,1,0
77,78,0,3,3,0,0,8.05,1,0,1,1
78,79,1,2,0,0,2,29.0,1,0,1,2
79,80,1,3,2,0,0,12.475,0,0,1,1
80,81,0,3,2,0,0,9.0,1,0,1,1
81,82,1,3,2,0,0,9.5,1,0,1,1
82,83,1,3,3,0,0,7.7875,0,1,0,0
83,84,0,1,2,0,0,47.1,1,0,1,4
84,85,1,2,1,0,0,10.5,0,0,1,1
85,86,1,3,2,3,0,15.85,0,0,1,2
86,87,0,3,1,1,3,34.375,1,0,1,4
87,88,0,3,3,0,0,8.05,1,0,1,1
88,89,1,1,2,3,2,263.0,0,0,1,4
89,90,0,3,2,0,0,8.05,1,0,1,1
90,91,0,3,2,0,0,8.05,1,0,1,1
91,92,0,3,2,0,0,7.8542,1,0,1,0
92,93,0,1,2,1,0,61.175,1,0,1,4
93,94,0,3,2,1,2,20.575,1,0,1,2
94,95,0,3,2,0,0,7.25,1,0,1,0
95,96,0,3,3,0,0,8.05,1,0,1,1
96,97,0,1,3,0,0,34.6542,1,0,0,4
97,98,1,1,2,0,1,63.3583,1,0,0,4
98,99,1,2,2,0,1,23.0,0,0,1,2
99,100,0,2,2,1,0,26.0,1,0,1,2
100,101,0,3,2,0,0,7.8958,0,0,1,0
101,102,0,3,3,0,0,7.8958,1,0,1,0
102,103,0,1,2,0,1,77.2875,1,0,1,4
103,104,0,3,2,0,0,8.6542,1,0,1,1
104,105,0,3,2,2,0,7.925,1,0,1,1
105,106,0,3,2,0,0,7.8958,1,0,1,0
106,107,1,3,2,0,0,7.65,0,0,1,0
107,108,1,3,3,0,0,7.775,1,0,1,0
108,109,0,3,2,0,0,7.8958,1,0,1,0
109,110,1,3,3,1,0,24.15,0,1,0,2
110,111,0,1,2,0,0,52.0,1,0,1,4
111,112,0,3,1,1,0,14.4542,0,0,0,1
112,113,0,3,2,0,0,8.05,1,0,1,1
113,114,0,3,2,1,0,9.825,0,0,1,1
114,115,0,3,1,0,0,14.4583,0,0,0,2
115,116,0,3,2,0,0,7.925,1,0,1,1
116,117,0,3,3,0,0,7.75,1,1,0,0
117,118,0,2,2,1,0,21.0,1,0,1,2
118,119,0,1,2,0,1,247.5208,1,0,0,4
119,120,0,3,0,4,2,31.275,0,0,1,4
120,121,0,2,2,2,0,73.5,1,0,1,4
121,122,0,3,3,0,0,8.05,1,0,1,1
122,123,0,2,2,1,0,30.0708,1,0,0,2
123,124,1,2,2,0,0,13.0,0,0,1,1
124,125,0,1,2,0,1,77.2875,1,0,1,4
125,126,1,3,0,1,0,11.2417,1,0,0,1
126,127,0,3,3,0,0,7.75,1,1,0,0
127,128,1,3,2,0,0,7.1417,1,0,1,0
128,129,1,3,3,1,1,22.3583,0,0,0,2
129,130,0,3,2,0,0,6.975,1,0,1,0
130,131,0,3,2,0,0,7.8958,1,0,0,0
131,132,0,3,2,0,0,7.05,1,0,1,0
132,133,0,3,2,1,0,14.5,0,0,1,2
133,134,1,2,2,1,0,26.0,0,0,1,2
134,135,0,2,2,0,0,13.0,1,0,1,1
135,136,0,2,2,0,0,15.0458,1,0,0,2
136,137,1,1,2,0,2,26.2833,0,0,1,2
137,138,0,1,2,1,0,53.1,1,0,1,4
138,139,0,3,1,0,0,9.2167,1,0,1,1
139,140,0,1,2,0,0,79.2,1,0,0,4
